City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Coquimbo,CL,2021-04-11 17:40:32,-29.9533,-71.3436,60.8,77,20,16.11
145,Choma,ZM,2021-04-11 17:44:43,-16.8065,26.9531,60.75,65,0,2.66
146,Denpasar,ID,2021-04-11 17:42:47,-8.65,115.2167,80.6,89,20,3.44
147,Blind River,CA,2021-04-11 17:44:43,46.1834,-82.9582,55.4,94,90,9.22
148,Nisporeni,MD,2021-04-11 17:44:44,47.0814,28.1783,50.0,40,0,8.05
149,Arkhangelskoye,RU,2021-04-11 17:44:44,55.8549,35.3287,46.27,72,10,5.53
150,Saldanha,ZA,2021-04-11 17:44:44,-33.0117,17.9442,68.0,64,99,9.22
151,Souillac,MU,2021-04-11 17:44:44,-20.5167,57.5167,78.8,89,40,5.75
152,Kon Tum,VN,2021-04-11 17:44:45,14.35,108.0,66.96,94,21,2.57
153,Upernavik,GL,2021-04-11 17:44:45,72.7868,-56.1549,32.27,76,100,13.8
154,Nador,MA,2021-04-11 17:44:45,35.174,-2.9287,69.8,49,0,8.05
155,Bilibino,RU,2021-04-11 17:44:45,68.0546,166.4372,-25.02,94,24,4.54
156,Hasaki,JP,2021-04-11 17:44:46,35.7333,140.8333,44.6,87,20,3.44
157,Madimba,TZ,2021-04-11 17:44:46,-10.4,40.3333,77.72,89,90,10.51
158,Lorengau,PG,2021-04-11 17:42:06,-2.0226,147.2712,80.22,85,97,13.98
159,Atuona,PF,2021-04-11 17:44:46,-9.8,-139.0333,80.49,77,34,18.5
160,Qaanaaq,GL,2021-04-11 17:43:21,77.484,-69.3632,23.02,92,100,8.21
161,Ribeira Grande,PT,2021-04-11 17:44:47,38.5167,-28.7,64.4,88,75,4.61
162,Khatanga,RU,2021-04-11 17:44:04,71.9667,102.5,19.92,86,92,13.89
163,Boyolangu,ID,2021-04-11 17:44:47,-8.1181,111.8935,75.02,91,65,1.23
164,Russell,US,2021-04-11 17:44:47,32.3502,-85.1999,75.0,56,1,9.22
165,Trelew,AR,2021-04-11 17:44:26,-43.249,-65.3051,73.09,31,13,15.35
166,Baruun-Urt,MN,2021-04-11 17:44:47,46.6806,113.2792,25.05,87,100,15.37
167,Ugoofaaru,MV,2021-04-11 17:44:48,5.6667,73.0,83.5,67,20,1.32
168,Outjo,NA,2021-04-11 17:44:48,-20.1167,16.15,70.59,36,2,9.26
169,Pachino,IT,2021-04-11 17:44:48,36.7186,15.0907,57.2,67,96,9.22
170,Kallithea,GR,2021-04-11 17:43:34,37.95,23.7,57.99,58,0,6.91
171,Coihaique,CL,2021-04-11 17:42:36,-45.5752,-72.0662,57.2,88,90,10.36
172,Muscat,OM,2021-04-11 17:44:11,23.6139,58.5922,82.4,78,20,2.3
173,Cidreira,BR,2021-04-11 17:44:49,-30.1811,-50.2056,88.3,50,6,3.15
174,Kalabo,ZM,2021-04-11 17:44:49,-14.97,22.6814,68.47,47,1,5.44
175,Santa Fe,AR,2021-04-11 17:44:49,-31.6333,-60.7,68.0,65,95,5.01
176,Soyo,AO,2021-04-11 17:44:50,-6.1349,12.3689,81.84,76,66,5.91
177,Port Moresby,PG,2021-04-11 17:44:50,-9.4431,147.1797,75.2,100,40,3.44
178,Tucuman,AR,2021-04-11 17:44:50,-26.8241,-65.2226,68.0,64,75,4.61
179,Ulladulla,AU,2021-04-11 17:44:50,-35.35,150.4667,51.8,50,7,14.97
180,Taree,AU,2021-04-11 17:44:51,-31.9,152.4667,50.0,57,0,5.44
181,Labuhan,ID,2021-04-11 17:44:51,-6.8844,112.2051,78.46,85,95,5.95
182,Harper,LR,2021-04-11 17:44:51,4.375,-7.7169,82.78,76,85,9.35
183,Burley,US,2021-04-11 17:44:51,42.5357,-113.7928,37.4,35,1,14.97
184,Zamora,EC,2021-04-11 17:44:52,-4.0692,-78.9567,82.4,44,90,5.75
185,Whitehorse,CA,2021-04-11 17:43:07,60.7161,-135.0538,10.0,64,1,5.23
186,Sept-Iles,CA,2021-04-11 17:44:52,50.2001,-66.3821,57.2,51,90,5.75
187,Opuwo,NA,2021-04-11 17:44:52,-18.0607,13.84,73.76,32,6,8.57
188,Torbay,CA,2021-04-11 17:44:38,47.6666,-52.7314,36.0,100,90,4.61
189,Pokhara,NP,2021-04-11 17:44:52,28.2333,83.9833,69.08,9,46,8.7
190,Tautira,PF,2021-04-11 17:43:32,-17.7333,-149.15,80.6,74,75,3.44
191,Bonthe,SL,2021-04-11 17:41:58,7.5264,-12.505,84.4,72,42,11.45
192,Prachuap Khiri Khan,TH,2021-04-11 17:44:16,12.2167,99.75,73.11,88,100,2.59
193,Zhanakorgan,KZ,2021-04-11 17:44:53,43.9098,67.2495,51.44,61,85,12.3
194,Kilindoni,TZ,2021-04-11 17:44:53,-7.9139,39.6668,81.52,79,97,14.92
195,Dawson Creek,CA,2021-04-11 17:40:13,55.7666,-120.2362,35.6,48,1,12.66
